rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,review_density,norm_review_density,scraped_at
1,1,Best Sellers in Amazon Devices & Accessories,Amazon Devices & Accessories,Amazon Devices,Accessories,Blink Subscription Plus Plan with monthly auto-renewal,B08JHCVHTY,https://www.amazon.com/Blink-Plus-Plan-monthly-auto-renewal/dp/B08JHCVHTY/ref=zg_bs_g_amazon-devices_d_sccl_1/145-8561872-7371915?psc=1,4.4,263260.0,$11.99,11.99,Low,263260.0,1.0,2025-10-25
2,1,Best Sellers in Amazon Devices & Accessories,Amazon Devices & Accessories,Amazon Devices,Accessories,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",B0CQMRKRV5,https://www.amazon.com/amazon-fire-tv-stick-hd/dp/B0CQMRKRV5/ref=zg_bs_g_amazon-devices_d_sccl_2/145-8561872-7371915?psc=1,4.7,43186.0,$19.99,19.99,Low,21593.0,0.0820177854335829,2025-10-25
3,1,Best Sellers in Amazon Devices & Accessories,Amazon Devices & Accessories,Amazon Devices,Accessories,"Ring Battery Doorbell | Home or business security with Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (newest model), Satin Nickel",B0BZWRSRWV,https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Satin-Nickel/dp/B0BZWRSRWV/ref=zg_bs_g_amazon-devices_d_sccl_3/145-8561872-7371915?psc=1,4.6,29926.0,$49.99,49.99,Mid,9975.333333333334,0.037887592338286,2025-10-25
1,1,Best Sellers in Amazon Renewed,Amazon Renewed,Amazon Renewed,,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",B08PP5MSVB,https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=zg_bs_g_amazon-renewed_d_sccl_1/145-8561872-7371915?psc=1,4.1,31946.0,$179.75,179.75,Mid,31946.0,1.0,2025-10-25
2,1,Best Sellers in Amazon Renewed,Amazon Renewed,Amazon Renewed,,"Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed)",B08264XHCZ,https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-32GB/dp/B08264XHCZ/ref=zg_bs_g_amazon-renewed_d_sccl_2/145-8561872-7371915?psc=1,4.2,14541.0,$93.88,93.88,Low,7270.5,0.2275588882457662,2025-10-25
3,1,Best Sellers in Amazon Renewed,Amazon Renewed,Amazon Renewed,,Apple AirPods 2 with Charging Case - White (Renewed),B07SKLLYTW,https://www.amazon.com/Apple-AirPods-Charging-Case-Renewed/dp/B07SKLLYTW/ref=zg_bs_g_amazon-renewed_d_sccl_3/145-8561872-7371915?psc=1,4.1,17231.0,$80.00,80.0,Low,5743.666666666667,0.1797629433829094,2025-10-25
1,1,Best Sellers in Appliances,Appliances,Appliances,,"Antarctic Star Countertop Ice Maker Machine, 8 Ice Cubes in 6 mins, 26lb/Day Ice with 2 Sizes- Portable Mini, Energy Saving & Basket/Scoop for Home/Party/Travel/Camping/Bar, Dark Black",B0F8NKJD6X,https://www.amazon.com/Antarctic-Star-Countertop-Machine-Portable/dp/B0F8NKJD6X/ref=zg_bs_g_appliances_d_sccl_1/145-8561872-7371915?psc=1,4.4,1304.0,$51.76,51.76,Low,1304.0,0.1873584522293309,2025-10-25
2,1,Best Sellers in Appliances,Appliances,Appliances,,"EUHOMY Countertop Ice Maker Machine with Handle, 26lbs in 24Hrs, 9 Ice Cubes Ready in 6 Mins, Auto-Cleaning Portable Ice Maker with Basket and Scoop, for Home/Kitchen/Camping/RV. (Black)",B0BWHZJHPL,https://www.amazon.com/EUHOMY-Countertop-Machine-Auto-Cleaning-Portable/dp/B0BWHZJHPL/ref=zg_bs_g_appliances_d_sccl_2/145-8561872-7371915?psc=1,4.3,13917.0,$63.31,63.31,Mid,6958.5,1.0,2025-10-25
3,1,Best Sellers in Appliances,Appliances,Appliances,,"Frigidaire 26 Lbs per Day Portable Compact Maker, Ice Making Machine, Stainless, Medium",B07JBJWP2W,https://www.amazon.com/Frigidaire-Countertop-Compact-Machine-Stainless/dp/B07JBJWP2W/ref=zg_bs_g_appliances_d_sccl_3/145-8561872-7371915?psc=1,4.4,9661.0,$58.36,58.36,Low,3220.333333333333,0.4627660189539795,2025-10-25
1,1,Best Sellers in Apps & Games,Apps & Games,Apps,Games,Minecraft,B00992CF6W,https://www.amazon.com/Mojang-Minecraft/dp/B00992CF6W/ref=zg_bs_g_mobile-apps_d_sccl_1/145-8561872-7371915?psc=1,4.4,153382.0,$6.99,6.99,Low,153382.0,1.0,2025-10-25
