rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,move_pct,sales_rank_now,sales_rank_was,sales_rank_change,sales_rank_change_abs,move_direction,review_density,norm_review_density,scraped_at
1,1,Movers & Shakers in Amazon Devices & Accessories,Amazon Devices & Accessories,Amazon Devices,Accessories,"Blink Mini 2 — Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight — 1 camera (Black)",B0BWX39R5W,https://www.amazon.com/Blink-Mini-2-Camera-Black/dp/B0BWX39R5W/ref=zg_bsms_g_amazon-devices_d_sccl_1/136-5094779-5527625?psc=1,4.5,15905.0,$44.82 (converted),44.82,Mid,114.0,7.0,15.0,8.0,8.0,up,15905.0,1.0,2025-10-25
2,1,Movers & Shakers in Amazon Devices & Accessories,Amazon Devices & Accessories,Amazon Devices,Accessories,"Blink Video Doorbell (newest model) – Head-to-toe HD view, two-year battery life, and simple setup. Required Sync Module not included – Add-On (Black)",B0DGQVYW2K,https://www.amazon.com/Blink-Video-Doorbell-Sync-Module-Not-Included-Add-On-Black/dp/B0DGQVYW2K/ref=zg_bsms_g_amazon-devices_d_sccl_2/136-5094779-5527625?psc=1,4.3,8803.0,$29.88 (converted),29.88,Mid,75.0,8.0,14.0,6.0,6.0,up,4401.5,0.276734033063632,2025-10-25
3,1,Movers & Shakers in Amazon Devices & Accessories,Amazon Devices & Accessories,Amazon Devices,Accessories,"Blink Arc – Plug-in Panoramic Vision, 180° dual-camera mount for Mini 2K+ or Mini 2 (sold separately) – Mount Accessory only (Black)",B0FKPK5D8F,https://www.amazon.com/Blink-Arc-Mount-Black/dp/B0FKPK5D8F/ref=zg_bsms_g_amazon-devices_d_sccl_3/136-5094779-5527625?psc=1,3.0,2.0,$19.91 (converted),19.91,Mid,60.0,68.0,109.0,41.0,41.0,up,0.6666666666666666,3.798610756355796e-05,2025-10-25
1,1,Movers & Shakers in Amazon Renewed,Amazon Renewed,Amazon Renewed,,"HP CHROMEBOOK 11 G8 - Education Edition - 11.6'' - CELERON N4020 - 4 GB RAM - 32 GB EMMC - US (Renewed), Black",B09BWR8TMP,https://www.amazon.com/HP-CHROMEBOOK-11-G8-Education/dp/B09BWR8TMP/ref=zg_bsms_g_amazon-renewed_d_sccl_1/136-5094779-5527625?psc=1,4.1,952.0,$64.75 (converted),64.75,Low,,,,,,,952.0,1.0,2025-10-25
2,1,Movers & Shakers in Amazon Renewed,Amazon Renewed,Amazon Renewed,,Motorola Moto G 5G | 2022 | 2-Day Battery | GSM Unlocked | Made for US by Motorola | 4/64GB | 50 MP Camera | Moonlight Gray (Renewed),B0BK5HRGXM,https://www.amazon.com/Battery-Unlocked-Motorola-Moonlight-Renewed/dp/B0BK5HRGXM/ref=zg_bsms_g_amazon-renewed_d_sccl_2/136-5094779-5527625?psc=1,4.1,323.0,$69.73 (converted),69.73,Low,44.0,347.0,501.0,154.0,154.0,up,161.5,0.1692938209331652,2025-10-25
3,1,Movers & Shakers in Amazon Renewed,Amazon Renewed,Amazon Renewed,,"Apple 2020 iPad Pro 2nd Gen 11 inch, Wi-Fi + Cellular, 128GB, Space Gray (Renewed)",B08CBK9Q3G,https://www.amazon.com/Apple-Wi-Fi-Cellular-128GB-Renewed/dp/B08CBK9Q3G/ref=zg_bsms_g_amazon-renewed_d_sccl_3/136-5094779-5527625?psc=1,4.4,196.0,$420.41 (converted),420.41,High,41.0,393.0,557.0,164.0,164.0,up,65.33333333333333,0.0682359534818551,2025-10-25
1,1,Movers & Shakers in Appliances,Appliances,Appliances,,"Gevi V2.0 Countertop Ice Maker 38lbs/24H, Ice Maker Nugget with Stainless Steel Housing, Chewable Pellet Ice Maker with Pour Water Refill, Self-Cleaning &Energy-Efficient, Black",B0F7QR6VJY,https://www.amazon.com/Gevi-Countertop-Stainless-Self-Cleaning-Energy-Efficient/dp/B0F7QR6VJY/ref=zg_bsms_g_appliances_d_sccl_1/136-5094779-5527625?psc=1,4.2,560.0,$349.67 (converted),349.67,High,,,,,,,560.0,1.0,2025-10-25
2,1,Movers & Shakers in Appliances,Appliances,Appliances,,"EUHOMY Smart Nugget Ice Maker Countertop, Pebble Ice Maker Machine with APP Control, 40lbs/24H, Ready in 7 Mins, Self-Cleaning, Portable Sonic Ice Makers with Hanging Ice Scoop for Home/Kitchen/Office",B0F32F179K,https://www.amazon.com/EUHOMY-Countertop-Portable-Control-Self-Cleaning/dp/B0F32F179K/ref=zg_bsms_g_appliances_d_sccl_2/136-5094779-5527625?psc=1,4.3,940.0,$201.16 (converted),201.16,Mid,,,,,,,470.0,0.8392806792192737,2025-10-25
3,1,Movers & Shakers in Appliances,Appliances,Appliances,,"30 inch Under Cabinet Range Hood 1200 CFM with 4-Speed Gesture Sensing & Touch Control, Stainless Steel Kitchen Stove Vent Hoods with 2 LED Lights, Time Setting, Dishwasher-Safe Baffle Filters",B0F8HQ9LMV,https://www.amazon.com/Cabinet-4-Speed-Gesture-Stainless-Dishwasher-Safe/dp/B0F8HQ9LMV/ref=zg_bsms_g_appliances_d_sccl_3/136-5094779-5527625?psc=1,4.6,56.0,$398.49 (converted),398.49,High,,,,,,,18.666666666666668,0.0333030483411134,2025-10-25
1,1,Movers & Shakers in Apps & Games,Apps & Games,Apps,Games,Kitty & Granny: The Magic Paw,B0F4D955H2,https://www.amazon.com/Kitty-Granny-The-Magic-Paw/dp/B0F4D955H2/ref=zg_bsms_g_mobile-apps_d_sccl_1/136-5094779-5527625?psc=1,,,$14.93 (converted),14.93,Mid,,,,,,,,,2025-10-25
2,1,Movers & Shakers in Apps & Games,Apps & Games,Apps,Games,Bad Cat Simulator: Granny Prank,B0FVMH9L41,https://www.amazon.com/Bad-Cat-Simulator-Granny-Prank/dp/B0FVMH9L41/ref=zg_bsms_g_mobile-apps_d_sccl_2/136-5094779-5527625?psc=1,,,$19.91 (converted),19.91,High,,,,,,,,,2025-10-25
3,1,Movers & Shakers in Apps & Games,Apps & Games,Apps,Games,Arena: Robot Rumble - RUBY,B0FWTFWQT3,https://www.amazon.com/SUNSHINE-GAMES-LIMITED-Arena-Rumble/dp/B0FWTFWQT3/ref=zg_bsms_g_mobile-apps_d_sccl_3/136-5094779-5527625?psc=1,,,$13.94 (converted),13.94,Mid,,,,,,,,,2025-10-25
1,1,"Movers & Shakers in Arts, Crafts & Sewing","Arts, Crafts & Sewing",Arts,Crafts,"BOBISUKA Halloween Makeup Fake Blood Kit- Washable Dark Spray + Fresh Dripping + Blood Thick Gel, Blood Capsule, Stipple Sponge & Soap, Realistic Scar Tattoo for SFX Zombie Clown Mouth Clothes",B0FGJ2C6VN,https://www.amazon.com/BOBISUKA-Halloween-Washable-Dripping-Realistic/dp/B0FGJ2C6VN/ref=zg_bsms_g_arts-crafts_d_sccl_1/136-5094779-5527625?psc=1,4.4,166.0,$3.97 (converted),3.97,Low,,,,,,,166.0,0.0943635162289527,2025-10-25
