rank;page;category;title;link;rating;review_count;price
1;1;Best Sellers in Amazon Devices & Accessories;Blink Subscription Plus Plan with monthly auto-renewal;https://www.amazon.com/Blink-Plus-Plan-monthly-auto-renewal/dp/B08JHCVHTY/ref=zg_bs_g_amazon-devices_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;263,260;$11.99
2;1;Best Sellers in Amazon Devices & Accessories;Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming;https://www.amazon.com/amazon-fire-tv-stick-hd/dp/B0CQMRKRV5/ref=zg_bs_g_amazon-devices_d_sccl_2/145-8561872-7371915?psc=1;4.7 out of 5 stars;43,186;$19.99
3;1;Best Sellers in Amazon Devices & Accessories;Ring Battery Doorbell | Home or business security with Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (newest model), Satin Nickel;https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Satin-Nickel/dp/B0BZWRSRWV/ref=zg_bs_g_amazon-devices_d_sccl_3/145-8561872-7371915?psc=1;4.6 out of 5 stars;29,926;$49.99
1;1;Best Sellers in Amazon Renewed;Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed);https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=zg_bs_g_amazon-renewed_d_sccl_1/145-8561872-7371915?psc=1;4.1 out of 5 stars;31,946;$179.75
2;1;Best Sellers in Amazon Renewed;Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed);https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-32GB/dp/B08264XHCZ/ref=zg_bs_g_amazon-renewed_d_sccl_2/145-8561872-7371915?psc=1;4.2 out of 5 stars;14,541;$93.88
3;1;Best Sellers in Amazon Renewed;Apple AirPods 2 with Charging Case - White (Renewed);https://www.amazon.com/Apple-AirPods-Charging-Case-Renewed/dp/B07SKLLYTW/ref=zg_bs_g_amazon-renewed_d_sccl_3/145-8561872-7371915?psc=1;4.1 out of 5 stars;17,231;$80.00
1;1;Best Sellers in Appliances;Antarctic Star Countertop Ice Maker Machine, 8 Ice Cubes in 6 mins, 26lb/Day Ice with 2 Sizes- Portable Mini, Energy Saving & Basket/Scoop for Home/Party/Travel/Camping/Bar, Dark Black;https://www.amazon.com/Antarctic-Star-Countertop-Machine-Portable/dp/B0F8NKJD6X/ref=zg_bs_g_appliances_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;1,304;$51.76
2;1;Best Sellers in Appliances;EUHOMY Countertop Ice Maker Machine with Handle, 26lbs in 24Hrs, 9 Ice Cubes Ready in 6 Mins, Auto-Cleaning Portable Ice Maker with Basket and Scoop, for Home/Kitchen/Camping/RV. (Black);https://www.amazon.com/EUHOMY-Countertop-Machine-Auto-Cleaning-Portable/dp/B0BWHZJHPL/ref=zg_bs_g_appliances_d_sccl_2/145-8561872-7371915?psc=1;4.3 out of 5 stars;13,917;$63.31
3;1;Best Sellers in Appliances;Frigidaire 26 Lbs per Day Portable Compact Maker, Ice Making Machine, Stainless, Medium;https://www.amazon.com/Frigidaire-Countertop-Compact-Machine-Stainless/dp/B07JBJWP2W/ref=zg_bs_g_appliances_d_sccl_3/145-8561872-7371915?psc=1;4.4 out of 5 stars;9,661;$58.36
1;1;Best Sellers in Apps & Games;Minecraft;https://www.amazon.com/Mojang-Minecraft/dp/B00992CF6W/ref=zg_bs_g_mobile-apps_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;153,382;$6.99
