rank;page;category;title;link;rating;review_count;price;move_%;sales_rank_now;sales_rank_was
1;1;Movers & Shakers in Amazon Devices & Accessories;Blink Mini 2 — Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight — 1 camera (Black);https://www.amazon.com/Blink-Mini-2-Camera-Black/dp/B0BWX39R5W/ref=zg_bsms_g_amazon-devices_d_sccl_1/136-5094779-5527625?psc=1;4.5 out of 5 stars;15,905;$44.82 (converted);114.0;7.0;15.0
2;1;Movers & Shakers in Amazon Devices & Accessories;Blink Video Doorbell (newest model) – Head-to-toe HD view, two-year battery life, and simple setup. Required Sync Module not included – Add-On (Black);https://www.amazon.com/Blink-Video-Doorbell-Sync-Module-Not-Included-Add-On-Black/dp/B0DGQVYW2K/ref=zg_bsms_g_amazon-devices_d_sccl_2/136-5094779-5527625?psc=1;4.3 out of 5 stars;8,803;$29.88 (converted);75.0;8.0;14.0
3;1;Movers & Shakers in Amazon Devices & Accessories;Blink Arc – Plug-in Panoramic Vision, 180° dual-camera mount for Mini 2K+ or Mini 2 (sold separately) – Mount Accessory only (Black);https://www.amazon.com/Blink-Arc-Mount-Black/dp/B0FKPK5D8F/ref=zg_bsms_g_amazon-devices_d_sccl_3/136-5094779-5527625?psc=1;3.0 out of 5 stars;2;$19.91 (converted);60.0;68.0;109.0
1;1;Movers & Shakers in Amazon Renewed;HP CHROMEBOOK 11 G8 - Education Edition - 11.6'' - CELERON N4020 - 4 GB RAM - 32 GB EMMC - US (Renewed), Black;https://www.amazon.com/HP-CHROMEBOOK-11-G8-Education/dp/B09BWR8TMP/ref=zg_bsms_g_amazon-renewed_d_sccl_1/136-5094779-5527625?psc=1;4.1 out of 5 stars;952;$64.75 (converted);;;
2;1;Movers & Shakers in Amazon Renewed;Motorola Moto G 5G | 2022 | 2-Day Battery | GSM Unlocked | Made for US by Motorola | 4/64GB | 50 MP Camera | Moonlight Gray (Renewed);https://www.amazon.com/Battery-Unlocked-Motorola-Moonlight-Renewed/dp/B0BK5HRGXM/ref=zg_bsms_g_amazon-renewed_d_sccl_2/136-5094779-5527625?psc=1;4.1 out of 5 stars;323;$69.73 (converted);44.0;347.0;501.0
3;1;Movers & Shakers in Amazon Renewed;Apple 2020 iPad Pro 2nd Gen 11 inch, Wi-Fi + Cellular, 128GB, Space Gray (Renewed);https://www.amazon.com/Apple-Wi-Fi-Cellular-128GB-Renewed/dp/B08CBK9Q3G/ref=zg_bsms_g_amazon-renewed_d_sccl_3/136-5094779-5527625?psc=1;4.4 out of 5 stars;196;$420.41 (converted);41.0;393.0;557.0
1;1;Movers & Shakers in Appliances;Gevi V2.0 Countertop Ice Maker 38lbs/24H, Ice Maker Nugget with Stainless Steel Housing, Chewable Pellet Ice Maker with Pour Water Refill, Self-Cleaning &Energy-Efficient, Black;https://www.amazon.com/Gevi-Countertop-Stainless-Self-Cleaning-Energy-Efficient/dp/B0F7QR6VJY/ref=zg_bsms_g_appliances_d_sccl_1/136-5094779-5527625?psc=1;4.2 out of 5 stars;560;$349.67 (converted);;;
2;1;Movers & Shakers in Appliances;EUHOMY Smart Nugget Ice Maker Countertop, Pebble Ice Maker Machine with APP Control, 40lbs/24H, Ready in 7 Mins, Self-Cleaning, Portable Sonic Ice Makers with Hanging Ice Scoop for Home/Kitchen/Office;https://www.amazon.com/EUHOMY-Countertop-Portable-Control-Self-Cleaning/dp/B0F32F179K/ref=zg_bsms_g_appliances_d_sccl_2/136-5094779-5527625?psc=1;4.3 out of 5 stars;940;$201.16 (converted);;;
3;1;Movers & Shakers in Appliances;30 inch Under Cabinet Range Hood 1200 CFM with 4-Speed Gesture Sensing & Touch Control, Stainless Steel Kitchen Stove Vent Hoods with 2 LED Lights, Time Setting, Dishwasher-Safe Baffle Filters;https://www.amazon.com/Cabinet-4-Speed-Gesture-Stainless-Dishwasher-Safe/dp/B0F8HQ9LMV/ref=zg_bsms_g_appliances_d_sccl_3/136-5094779-5527625?psc=1;4.6 out of 5 stars;56;$398.49 (converted);;;
1;1;Movers & Shakers in Apps & Games;Kitty & Granny: The Magic Paw;https://www.amazon.com/Kitty-Granny-The-Magic-Paw/dp/B0F4D955H2/ref=zg_bsms_g_mobile-apps_d_sccl_1/136-5094779-5527625?psc=1;;;$14.93 (converted);;;
2;1;Movers & Shakers in Apps & Games;Bad Cat Simulator: Granny Prank;https://www.amazon.com/Bad-Cat-Simulator-Granny-Prank/dp/B0FVMH9L41/ref=zg_bsms_g_mobile-apps_d_sccl_2/136-5094779-5527625?psc=1;;;$19.91 (converted);;;
3;1;Movers & Shakers in Apps & Games;Arena: Robot Rumble - RUBY;https://www.amazon.com/SUNSHINE-GAMES-LIMITED-Arena-Rumble/dp/B0FWTFWQT3/ref=zg_bsms_g_mobile-apps_d_sccl_3/136-5094779-5527625?psc=1;;;$13.94 (converted);;;
1;1;Movers & Shakers in Arts, Crafts & Sewing;BOBISUKA Halloween Makeup Fake Blood Kit- Washable Dark Spray + Fresh Dripping + Blood Thick Gel, Blood Capsule, Stipple Sponge & Soap, Realistic Scar Tattoo for SFX Zombie Clown Mouth Clothes;https://www.amazon.com/BOBISUKA-Halloween-Washable-Dripping-Realistic/dp/B0FGJ2C6VN/ref=zg_bsms_g_arts-crafts_d_sccl_1/136-5094779-5527625?psc=1;4.4 out of 5 stars;166;$3.97 (converted);;;
2;1;Movers & Shakers in Arts, Crafts & Sewing;Stocking Stuffers for Kids, Outline Glitter Markers, Stocking Stuffers for Teen Girl Gifts Trendy Stuff, 12 Shimmer Markers Outline Pens for Art Supplies for Kids 9-12, Gifts for 4-12 Year Old Girls;https://www.amazon.com/Stocking-Stuffers-Shimmer-Metallic-Supplies/dp/B0D127HCT4/ref=zg_bsms_g_arts-crafts_d_sccl_2/136-5094779-5527625?psc=1;4.5 out of 5 stars;351;$7.96 (converted);583.0;247.0;
3;1;Movers & Shakers in Arts, Crafts & Sewing;Cool Maker, PopStyle Expansion Pack, Bracelet Making Kit, over 50 Gem Beads, Makes 3 (Packaging May Vary), Arts and Crafts Kids Toys for Ages 7 and up;https://www.amazon.com/Cool-Maker-Expansion-Friendship-Bracelets/dp/B0CCW5WRJC/ref=zg_bsms_g_arts-crafts_d_sccl_3/136-5094779-5527625?psc=1;4.6 out of 5 stars;1,201;$8.90 (converted);288.0;53.0;206.0
1;1;Movers & Shakers in Audible Books & Originals;The Empire of Gold: A Novel: The Daevabad Trilogy, Book 3;https://www.amazon.com/Empire-Gold-Novel/dp/B07YN67PGX/ref=zg_bsms_g_audible_d_sccl_1/136-5094779-5527625?isALC=true;4.7 out of 5 stars;9,530;$38.43 (converted);;;
2;1;Movers & Shakers in Audible Books & Originals;Harry Potter and the Sorcerer’s Stone (Full-Cast Edition);https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Full-Cast/dp/B0F14PDX2Z/ref=zg_bsms_g_audible_d_sccl_2/136-5094779-5527625?isALC=true;4.8 out of 5 stars;147,293;$29.87 (converted);266.0;3.0;11.0
3;1;Movers & Shakers in Audible Books & Originals;Exit Strategy: A Reacher Novel;https://www.amazon.com/Exit-Strategy-A-Reacher-Novel/dp/B0DTZ59K83/ref=zg_bsms_g_audible_d_sccl_3/136-5094779-5527625?isALC=true;;;$19.61 (converted);191.0;234.0;681.0
1;1;Movers & Shakers in Automotive;Termitor D1S Xenon HID Headlights Bulbs, 400% Enhanced Brightness, 6000K Cool White High/Low Beam, Replacement 66144 66140 85140 85415, IP68 with Metal Base, Plug and Play, Pack of 2;https://www.amazon.com/Termitor-D1S-Headlights-Brightness-Replacement/dp/B0F26GJS6T/ref=zg_bsms_g_automotive_d_sccl_1/136-5094779-5527625?psc=1;4.4 out of 5 stars;1,982;$19.91 (converted);;;
