cat_level_1,n_items,median_move_pct,mean_move_pct,median_sales_rank_change,mean_sales_rank_change,up_count
Sports Collectibles,93,110.5,181.73863636363637,249.0,285.5974025974026,77
Collectible Coins,96,150.0,194.8,245.0,271.14925373134326,67
Kindle Store,100,87.0,143.03333333333333,135.0,171.6909090909091,55
Software,96,76.0,117.87912087912088,134.0,194.58441558441558,77
CDs,100,39.0,67.83505154639175,75.0,110.48958333333333,96
Movies,100,29.0,99.1358024691358,55.0,105.45333333333333,75
Camera,97,24.0,28.46875,53.0,66.625,96
Appliances,99,24.5,32.43617021276596,48.5,70.76595744680851,94
Handmade Products,100,18.0,24.816326530612244,42.0,58.204081632653065,98
Clothing,99,20.0,22.848484848484848,38.0,48.656565656565654,99
Apps,100,20.0,29.302083333333332,37.0,48.125,96
Toys,100,15.0,29.391752577319586,32.0,46.03092783505155,97
Amazon Renewed,100,13.0,16.181818181818183,30.0,38.06060606060606,99
Musical Instruments,100,10.0,15.818181818181818,25.0,31.09090909090909,99
Books,100,14.0,42.47,24.0,48.09090909090909,99
Computers,98,12.0,15.159574468085106,23.0,31.01063829787234,94
Patio,99,11.0,16.36082474226804,22.0,32.50515463917526,97
Sports,99,12.0,16.957894736842107,21.0,29.705263157894738,95
Audible Books,100,13.0,26.424242424242426,21.0,45.686868686868685,99
Video Games,100,10.0,20.515151515151516,20.0,42.76767676767677,99
Home,100,9.0,12.66326530612245,19.0,26.70408163265306,98
Automotive,99,8.0,12.505376344086022,18.0,24.387096774193548,93
Tools,98,7.0,19.666666666666668,17.0,40.791666666666664,96
Arts,100,8.0,20.727272727272727,17.0,28.316326530612244,98
Kitchen,100,8.0,17.625,17.0,34.71875,96
Office Products,100,7.0,9.34375,16.0,22.0625,96
Cell Phones,97,8.0,13.802469135802468,16.0,28.65432098765432,81
Beauty,99,6.0,15.918367346938776,14.0,24.367346938775512,98
Amazon Devices,45,6.0,13.666666666666666,13.0,15.2,45
Electronics,98,6.0,16.767676767676768,13.0,34.17171717171717,99
Gift Cards,29,5.0,4.758620689655173,12.0,12.724137931034482,29
Pet Supplies,97,4.0,8.372340425531915,10.0,17.19148936170213,94
Baby,100,5.0,6.585858585858586,10.0,13.767676767676768,99
Grocery,73,6.0,9.164383561643836,9.0,16.36986301369863,73
Health,100,4.0,7.427083333333333,9.0,15.53125,96
Entertainment Collectibles,69,,,,,0
